link_src,link_track,pdt_dis_nm,name,sc_id,stock_name,sc_sector_id,sc_sector,forum_topics_url,Mkt Cap (Rs. Cr.),Previous Close,Face Value,TTM EPS,TTM PE,Book Value Per Share,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),NP After MI And SOA / Share (Rs.),PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),NP After MI And SOA Margin (%),Return on Networth/Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Interest Coverage Ratios (%),Interest Coverage Ratios (Post Tax) (%),Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield,Operating Revenue Per Share,ROCE (%),CASA (%),Net Profit After MI And SOA Margin (%),Operating Profit Margin (%),Return On Assets (%),Return On Equity/Networth (%),Net Interest Margin (%),Cost To Income (%),Interest Income/Total Assets (%),Non-Interest Income/Total Assets (%),Operating Profit/Total Assets (%),Operating Expenses/Total Assets (%),Interest Expenses/Total Assets (%),Enterprise Value (Rs.Cr),EV Per Net Sales (X),Price To Book Value (X),Price To Sales (X),Earnings Yield (X),Key Financial Ratios of(in Rs. Cr.),Key Financial Ratios of Container Corporation of India(in Rs. Cr.),Key Financial Ratios of Pritish Nandy Communications(in Rs. Cr.)
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/adityavision/AV,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=AV02&type=stock,"Aditya Vision&nbsp;<span>INE679V01027, AVL, 540205</span>",Aditya Vision,AV02,Aditya Vision,MS,Miscellaneous,https://mmb.moneycontrol.com/forum-topics/stocks/aditya-vision-510406.html,"7,204",564.65,1.00,0.00,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/aerospacedefence/axiscadestechnologies/AXI,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=ITT01&type=stock,"Axiscades Technologies&nbsp;<span>INE555B01013, AXISCADES, 532395</span>",Axiscades Technologies,ITT01,Axiscades Technologies,,,https://mmb.moneycontrol.com/forum-topics/stocks/axiscades-tech-246276.html,"7,251","1,625.00",5.00,18.50,92.23,142.94,17.76,17.22,27.02,152.62,152.62,242.36,38.40,29.09,20.58,17.71,17.70,15.84,12.00,8.49,7.30,7.30,11.59,14.78,6.67,0.29,0.91,2.22,2.01,2.89,0.00,0.00,0.00,0.00,5.06,5.06,"3,885.16",3.77,23.79,3.67,0.00,5.82,3.67,0.02,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/consumer-food/awlagribusiness/AW,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=AW01&type=stock,"AWL Agri Business&nbsp;<span>INE699H01024, AWL, 543458</span>",AWL Agri Business,AW01,AWL Agri Business,,,https://mmb.moneycontrol.com/forum-topics/stocks/awl-agri-511867.html,"34,493",263.05,1.00,8.84,30.02,72.51,9.44,9.44,12.03,72.75,72.75,491.56,21.00,17.95,12.36,8.98,9.46,4.27,3.65,2.51,1.82,1.92,12.99,21.70,5.45,0.79,3.01,1.25,0.51,6.77,0.00,0.00,0.00,0.00,3.76,3.76,"38,570.16",0.61,14.18,0.53,0.00,3.55,0.53,0.04,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/axisbank/AB16,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=UTI10&type=stock,"Axis Bank&nbsp;<span>INE238A01034, AXISBANK, 532215</span>",Axis Bank,UTI10,Axis Bank,BF,Banking & Financial Services,https://mmb.moneycontrol.com/forum-topics/stocks/axis-bank-3142.html,"366,450","1,159.50",2.00,89.80,13.15,552.40,90.72,90.18,96.47,604.50,604.50,,,,,90.76,90.58,,,,22.07,,,,,,,,,,,,,,,,,,,,98.89,,,,411.24,2.84,40.75,22.02,33.11,1.69,14.98,3.40,47.11,7.68,1.72,-0.02,2.41,4.28,"1,659,266.20",13.03,1.82,2.68,0.08,,,
https://www.moneycontrol.com/india/stockpricequote/textiles-processing/aymsyntex/WS01,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=WS01&type=stock,"AYM Syntex&nbsp;<span>INE193B01039, AYMSYNTEX, 508933</span>",AYM Syntex,WS01,AYM Syntex,MF,Manufacturing,https://mmb.moneycontrol.com/forum-topics/stocks/aym-syntex-79296.html,"1,114",189.86,10.00,0.99,192.03,74.81,2.13,2.12,12.59,98.74,98.74,254.53,21.22,10.62,3.31,1.99,1.99,8.33,4.17,1.30,0.78,0.78,2.01,9.64,1.12,0.32,1.45,1.30,0.65,3.54,0.00,0.00,0.00,0.00,2.90,2.90,"1,440.94",0.97,11.61,0.86,0.00,2.23,0.86,0.01,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/finance-investments/avonmorecapitalmanagementservices/AC19,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=ACM01&type=stock,"Avonmore Capital & Management Services&nbsp;<span>INE323B01024, AVONMORE, 511589</span>",Avonmore Capital & Management Services,ACM01,Avonmore Capital & Management Services,BF,Banking & Financial Services,https://mmb.moneycontrol.com/forum-topics/stocks/avonmore-cap-144776.html,530,18.90,1.00,0.96,19.56,12.39,1.19,1.19,1.09,12.95,12.95,6.24,1.46,1.30,1.18,0.93,1.00,23.40,20.79,18.94,14.82,16.09,7.75,7.56,5.00,0.04,0.33,5.32,5.17,0.00,0.00,0.00,0.00,0.00,12.66,12.66,553.55,3.13,13.39,2.69,0.00,1.30,2.69,0.06,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/awfisspacesolutions/ASS01,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=ASS01&type=stock,"Awfis Space Solutions&nbsp;<span>INE108V01019, AWFIS, 544181</span>",Awfis Space Solutions,ASS01,Awfis Space Solutions,Mi,Miscellaneous,https://mmb.moneycontrol.com/forum-topics/stocks/awfis-space-solution-523419.html,"4,220",572.90,10.00,10.50,56.20,59.51,9.75,9.67,48.44,64.71,64.71,170.16,64.20,25.33,9.69,9.56,9.56,37.72,14.88,5.69,5.62,5.62,14.77,10.09,2.70,0.05,0.62,0.71,0.71,0.00,0.00,0.00,0.00,0.00,3.35,3.35,"4,641.57",3.84,10.19,3.89,0.00,10.23,3.89,0.01,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bafnapharmaceuticals/BP01,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=BP11&type=stock,"Bafna Pharmaceuticals&nbsp;<span>INE878I01022, BAFNAPH, 532989</span>",Bafna Pharmaceuticals,BP11,Bafna Pharmaceuticals,PH,Pharmaceuticals,https://mmb.moneycontrol.com/forum-topics/stocks/bafna-pharma-246876.html,400,172.72,10.00,-10.45,--,7.21,-15.52,-15.52,-89.52,-17.59,-17.59,179.54,6.25,-7.56,-103.32,-103.32,-104.54,3.48,-4.20,-57.54,-57.54,-58.22,0.00,-3.29,-34.67,-0.71,59.55,2.11,1.44,3.72,0.00,0.00,0.00,0.00,-18.72,-18.72,-3.29,-0.08,-2.22,0.05,0.00,-0.49,0.05,-11.80,,,,,,,,,,,,,,,,,,,,Mar 20,,
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/antonywastehandlingcell/AWH,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=AWH&type=stock,"Antony Waste Handling Cell&nbsp;<span>INE01BK01022, AWHCL, 543254</span>",Antony Waste Handling Cell,AWH,Antony Waste Handling Cell,Mi,Miscellaneous,https://mmb.moneycontrol.com/forum-topics/stocks/antony-waste-511497.html,"1,566",552.45,5.00,30.17,18.28,212.48,30.10,30.10,60.14,232.41,232.41,329.14,77.65,52.98,41.75,35.48,30.09,23.59,16.09,12.68,10.77,9.14,12.94,11.69,5.16,0.72,0.60,1.22,1.22,0.00,0.00,0.00,0.00,0.00,3.95,3.95,"2,018.69",2.16,9.17,1.63,0.00,2.30,1.63,0.06,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/plastic-products/avroindia/AM09,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=AM13&type=stock,"Avro India&nbsp;<span>INE652Z01017, AVROIND, 543512</span>",Avro India,AM13,Avro India,MS,Miscellaneous,https://mmb.moneycontrol.com/forum-topics/stocks/avon-moldplast-510803.html,195,148.43,10.00,0.00,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/domestic-appliances/bajajelectricals/BE,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=BE&type=stock,"Bajaj Electricals&nbsp;<span>INE193E01025, BAJAJELEC, 500031</span>",Bajaj Electricals,BE,Bajaj Electricals,CD,Consumer Durables,https://mmb.moneycontrol.com/forum-topics/stocks/bajaj-electric-75890.html,"6,276",547.85,2.00,9.21,59.07,126.79,11.57,11.56,24.06,149.57,149.57,418.62,31.40,18.91,14.71,11.57,11.57,7.50,4.51,3.51,2.76,2.76,7.73,11.05,3.16,0.00,1.20,1.29,0.97,6.53,25.90,12.45,74.10,87.55,5.19,5.19,"6,173.67",1.28,17.04,1.30,74.09,3.65,1.30,0.02,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/auto-23-wheelers/bajajauto/BA10,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=BA06&type=stock,"Bajaj Auto&nbsp;<span>INE917I01010, BAJAJ-AUTO, 532977</span>",Bajaj Auto,BA06,Bajaj Auto,AU,Automotive,https://mmb.moneycontrol.com/forum-topics/stocks/bajaj-auto-246891.html,"242,382","8,626.50",10.00,271.91,31.92,"1,109.33",262.40,262.00,309.91,"1,260.07","1,260.07","1,826.06",427.64,412.80,391.31,295.07,262.29,23.41,22.60,21.42,16.15,14.36,20.81,27.05,13.51,0.26,1.09,1.68,1.50,27.08,30.49,28.85,69.51,71.15,30.71,30.71,"226,289.42",4.44,18.95,4.31,69.50,6.25,4.31,0.03,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/bagfilmsmedia/BAG,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=BAG&type=stock,"BAG Films and Media&nbsp;<span>INE116D01028, BAGFILMS, 532507</span>",BAG Films and Media,BAG,BAG Films and Media,ME,Media & Entertainment,https://mmb.moneycontrol.com/forum-topics/stocks/bag-films-147775.html,140,7.02,2.00,0.34,20.79,7.72,0.50,0.41,0.71,7.95,7.95,6.87,1.25,1.04,0.62,0.50,0.31,18.18,15.16,9.00,7.34,4.56,3.94,7.89,1.56,0.00,0.35,1.83,1.35,2.36,0.00,0.00,0.00,0.00,2.95,2.95,156.04,1.15,6.31,0.79,0.00,0.68,0.79,0.06,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/personal-care/bajajconsumercare/BC02,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=BC14&type=stock,"Bajaj Consumer Care&nbsp;<span>INE933K01021, BAJAJCON, 533229</span>",Bajaj Consumer Care,BC14,Bajaj Consumer Care,CN,Consumer Non-durables,https://mmb.moneycontrol.com/forum-topics/stocks/bajaj-corp-509164.html,"3,280",236.06,1.00,9.20,26.01,50.56,9.03,9.03,9.85,54.57,54.57,70.40,11.89,11.15,11.11,9.10,9.14,16.89,15.83,15.78,12.93,12.98,16.74,20.23,13.90,0.00,1.02,4.48,4.10,4.81,0.00,0.00,0.00,0.00,303.39,303.39,"2,042.93",2.12,12.53,2.23,0.00,2.88,2.23,0.06,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/finance-investments/bajajfinserv/BF04,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=BF04&type=stock,"Bajaj Finserv&nbsp;<span>INE918I01026, BAJAJFINSV, 532978</span>",Bajaj Finserv,BF04,Bajaj Finserv,BF,Banking & Financial Services,https://mmb.moneycontrol.com/forum-topics/stocks/bajaj-finserv-246890.html,"319,706","2,007.00",1.00,59.60,33.57,427.62,55.60,55.00,117.23,453.60,453.60,838.48,308.33,301.00,148.69,109.90,55.59,36.77,35.89,17.73,13.10,6.62,12.25,35.45,1.36,4.89,0.22,1.24,1.24,0.00,1.79,1.58,98.21,98.42,2.02,2.02,"714,801.58",5.34,14.53,2.39,98.20,4.42,2.39,0.03,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/textiles-cotton-blended/axitacotton/AC29,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=AC24&type=stock,"Axita Cotton&nbsp;<span>INE02EZ01022, AXITA, 542285</span>",Axita Cotton,AC24,Axita Cotton,MF,Manufacturing,https://mmb.moneycontrol.com/forum-topics/stocks/axita-cotton-510877.html,301,8.69,1.00,-0.04,--,1.80,0.02,0.02,0.06,1.80,1.80,18.77,0.07,0.04,0.03,0.02,0.02,0.38,0.20,0.16,0.12,0.12,1.25,2.10,1.02,0.03,0.00,4.90,4.83,0.00,0.00,0.00,0.00,0.00,2.69,2.69,338.90,0.52,133.97,0.53,0.00,5.55,0.53,0.00,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/aerospacedefence/azadengineering/AEL02,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=AEL03&type=stock,"Azad Engineering&nbsp;<span>INE02IJ01035, AZAD, 544061</span>",Azad Engineering,AEL03,Azad Engineering,,,https://mmb.moneycontrol.com/forum-topics/stocks/azad-engineering-515626.html,"11,162","1,611.00",2.00,15.47,111.73,105.91,14.66,14.66,17.97,215.82,215.82,70.82,26.62,22.05,19.21,13.40,13.52,37.58,31.13,27.11,18.92,19.09,6.26,8.73,4.69,0.17,0.34,5.20,4.38,0.65,0.00,0.00,0.00,0.00,9.35,9.35,"8,332.22",18.22,48.47,19.21,0.00,6.30,19.21,0.01,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/domestic-appliances/bajajelectricals/BE,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=BE&type=stock,"Bajaj Electricals&nbsp;<span>INE193E01025, BAJAJELEC, 500031</span>",Bajaj Electricals,BE,Bajaj Electricals,CD,Consumer Durables,https://mmb.moneycontrol.com/forum-topics/stocks/bajaj-electric-75890.html,"6,276",547.85,2.00,9.21,59.07,126.79,11.57,11.56,24.06,149.57,149.57,418.62,31.40,18.91,14.71,11.57,11.57,7.50,4.51,3.51,2.76,2.76,7.73,11.05,3.16,0.00,1.20,1.29,0.97,6.53,25.90,12.45,74.10,87.55,5.19,5.19,"6,173.67",1.28,17.04,1.30,74.09,3.65,1.30,0.02,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/finance-housing/bajajhousingfinance/BHFL,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=BHFL&type=stock,"Bajaj Housing Finance&nbsp;<span>INE377Y01014, BAJAJHFL, 544252</span>",Bajaj Housing Finance,BHFL,Bajaj Housing Finance,,,https://mmb.moneycontrol.com/forum-topics/stocks/bajaj-housing-finance-530222.html,"92,914",111.47,10.00,0.00,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/hospitalsmedical-services/bajajhealthcare/BHL,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=BHL02&type=stock,"Bajaj Healthcare&nbsp;<span>INE411U01027, BAJAJHCARE, 539872</span>",Bajaj Healthcare,BHL02,Bajaj Healthcare,SS,Services,https://mmb.moneycontrol.com/forum-topics/stocks/bajaj-healthcar-510255.html,"1,529",480.20,5.00,0.00,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/edible-oilssolvent-extraction/avtnaturalproducts/AVT02,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=AVT&type=stock,"AVT Natural Products&nbsp;<span>INE488D01021, AVTNPL, 519105</span>",AVT Natural Products,AVT,AVT Natural Products,MS,Miscellaneous,https://mmb.moneycontrol.com/forum-topics/stocks/avt-natural-241922.html,"1,089",72.35,1.00,3.57,20.03,31.18,3.17,3.17,4.08,33.25,33.25,36.51,5.68,4.77,4.15,3.17,3.17,15.55,13.06,11.35,8.67,8.67,9.52,14.00,6.45,0.22,0.83,2.90,1.62,2.16,25.26,19.62,74.74,80.38,9.11,9.11,894.31,1.61,10.34,1.48,74.73,1.62,1.48,0.06,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/finance-investments/bajajholdingsinvestment/BHI,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=BA&type=stock,"Bajaj Holdings & Investment&nbsp;<span>INE118A01012, BAJAJHLDNG, 500490</span>",Bajaj Holdings & Investment,BA,Bajaj Holdings & Investment,BF,Banking & Financial Services,https://mmb.moneycontrol.com/forum-topics/stocks/bajaj-holdings-2646.html,"131,538","11,996.00",10.00,754.47,15.67,"5,375.30",585.90,585.90,47.44,"5,632.81","5,632.81",61.50,58.55,55.51,55.38,44.40,585.92,95.19,90.26,90.04,72.20,952.72,10.40,0.82,8.66,0.00,0.01,869.90,869.90,374.00,16.19,16.11,83.81,83.89,440.24,440.24,"148,665.81",217.21,228.17,202.78,83.80,2.21,202.78,0.05,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/chemicals/balajiamines/BA05,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=BA05&type=stock,"Balaji Amines&nbsp;<span>INE050E01027, BALAMINES, 530999</span>",Balaji Amines,BA05,Balaji Amines,CH,Chemicals,https://mmb.moneycontrol.com/forum-topics/stocks/balaji-amines-90252.html,"4,594","1,401.90",2.00,46.98,30.18,546.43,48.62,48.62,63.90,569.44,569.44,431.19,81.90,66.95,65.81,48.95,48.62,18.99,15.52,15.26,11.35,11.27,8.53,10.22,6.99,0.01,0.64,7.26,5.14,4.98,22.62,17.30,77.38,82.70,71.75,71.75,"3,742.00",2.68,14.10,2.80,77.37,2.12,2.80,0.04,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/finance-leasinghire-purchase/baidfinserv/BLF,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=BLF&type=stock,"Baid Finserv&nbsp;<span>INE020D01022, BAIDFIN, 511724</span>",Baid Finserv,BLF,Baid Finserv,BF,Banking & Financial Services,https://mmb.moneycontrol.com/forum-topics/stocks/baid-leasing-242299.html,129,10.94,2.00,0.00,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/engineering-industrial-equipments/indefmanufacturing/IM04,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=IM01&type=stock,"Indef Manufacturing&nbsp;<span>INE0O9T01021, BAJAJINDEF, 544364</span>",Indef Manufacturing,IM01,Indef Manufacturing,,,https://mmb.moneycontrol.com/forum-topics/stocks/indef-manufacturing-536204.html,"1,168",356.05,1.00,10.65,34.27,79.03,10.68,10.68,12.29,79.03,79.03,55.82,14.86,13.24,13.11,10.68,10.68,26.61,23.72,23.48,19.12,19.12,13.50,15.77,11.33,0.00,0.00,1.93,1.26,0.00,0.00,0.00,0.00,0.00,111.85,111.85,825.99,4.62,17.37,4.66,0.00,3.29,4.66,0.04,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/finance-nbfc/bajajfinance/BAF,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=BAF&type=stock,"Bajaj Finance&nbsp;<span>INE296A01032, BAJFINANCE, 500034</span>",Bajaj Finance,BAF,Bajaj Finance,BF,Banking & Financial Services,https://mmb.moneycontrol.com/forum-topics/stocks/bajaj-finance-62781.html,"615,870",987.70,1.00,28.00,35.35,155.39,268.94,268.94,284.17,"1,557.43","1,557.43","1,122.39",768.52,754.33,355.35,269.98,267.98,68.47,67.20,31.66,24.05,23.87,17.20,46.79,3.56,3.74,0.17,1.26,1.26,0.00,13.38,12.70,86.62,87.30,1.93,1.93,"905,532.27",12.99,18.98,7.97,86.61,5.75,7.97,0.03,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/balajitelefilms/BT06,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=BT06&type=stock,"Balaji Telefilms&nbsp;<span>INE794B01026, BALAJITELE, 532382</span>",Balaji Telefilms,BT06,Balaji Telefilms,ME,Media & Entertainment,https://mmb.moneycontrol.com/forum-topics/stocks/balaji-telefilm-321.html,"1,485",127.13,2.00,6.86,18.10,37.12,8.61,8.59,7.70,54.96,54.96,37.89,0.06,-0.57,-0.85,7.07,7.28,0.15,-1.50,-2.25,18.66,19.21,13.24,-1.03,10.86,0.01,0.60,3.73,2.80,0.00,0.00,0.00,0.00,0.00,0.21,0.21,715.01,1.58,"1,005.79",1.59,0.00,1.10,1.59,0.12,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=BI03&type=stock,"Balkrishna Industries&nbsp;<span>INE787D01026, BALKRISIND, 502355</span>",Balkrishna Industries,BI03,Balkrishna Industries,AU,Automotive,https://mmb.moneycontrol.com/forum-topics/stocks/balkrishna-ind-62801.html,"44,517","2,305.60",2.00,75.18,30.63,537.33,85.61,85.61,120.83,537.38,537.38,540.45,155.01,119.80,113.16,85.62,85.62,28.68,22.16,20.93,15.84,15.84,15.93,20.29,10.58,0.31,0.71,1.32,0.90,6.65,18.68,13.24,81.32,86.76,23.35,23.35,"52,453.30",5.02,17.51,4.72,81.31,4.74,4.72,0.03,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/sugar/bajajhindusthansugar/BH06,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=BH&type=stock,"Bajaj Hindusthan Sugar&nbsp;<span>INE306A01021, BAJAJHIND, 500032</span>",Bajaj Hindusthan Sugar,BH,Bajaj Hindusthan Sugar,FB,Food & Beverages,https://mmb.moneycontrol.com/forum-topics/stocks/bajaj-hind-100475.html,"2,638",20.23,1.00,-1.02,--,33.95,-0.19,-0.19,1.53,33.12,33.12,44.80,2.47,0.74,-0.09,-0.20,-0.19,5.52,1.65,-0.19,-0.44,-0.42,-0.57,1.01,-0.15,0.87,0.36,0.57,0.14,2.06,0.00,0.00,0.00,0.00,2.99,2.99,"5,938.47",1.07,19.30,0.44,0.00,0.59,0.44,-0.01,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=BI03&type=stock,"Balkrishna Industries&nbsp;<span>INE787D01026, BALKRISIND, 502355</span>",Balkrishna Industries,BI03,Balkrishna Industries,AU,Automotive,https://mmb.moneycontrol.com/forum-topics/stocks/balkrishna-ind-62801.html,"44,517","2,305.60",2.00,75.18,30.63,537.33,85.61,85.61,120.83,537.38,537.38,540.45,155.01,119.80,113.16,85.62,85.62,28.68,22.16,20.93,15.84,15.84,15.93,20.29,10.58,0.31,0.71,1.32,0.90,6.65,18.68,13.24,81.32,86.76,23.35,23.35,"52,453.30",5.02,17.51,4.72,81.31,4.74,4.72,0.03,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/diversified/balmerlawrieco/BLC,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=BLC&type=stock,"Balmer Lawrie & Co&nbsp;<span>INE164A01016, BALMLAWRIE, 523319</span>",Balmer Lawrie & Co,BLC,Balmer Lawrie & Co,MF,Manufacturing,https://mmb.moneycontrol.com/forum-topics/stocks/balmer-lawrie-25846.html,"3,600",210.30,10.00,15.85,13.28,104.34,15.55,15.55,14.92,115.12,115.12,147.11,21.20,17.68,16.13,11.39,15.55,14.41,12.01,10.96,7.74,10.57,13.50,12.90,8.74,0.04,0.85,2.27,1.99,13.04,54.65,44.55,45.35,55.45,13.67,13.67,"2,796.58",1.11,7.71,1.26,45.34,1.60,1.26,0.08,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/trading/balaxipharmaceuticals/TAR,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=TAR&type=stock,"Balaxi Pharmaceuticals&nbsp;<span>INE618N01022, BALAXI</span>",Balaxi Pharmaceuticals,TAR,Balaxi Pharmaceuticals,MS,Miscellaneous,https://mmb.moneycontrol.com/forum-topics/stocks/anandam-rubber-510143.html,248,44.53,2.00,3.42,13.13,39.10,4.54,4.54,4.88,41.98,41.98,52.99,6.07,5.72,5.19,4.54,4.54,11.45,10.80,9.79,8.56,8.56,10.81,12.35,8.07,0.22,1.03,4.45,3.01,3.64,0.00,0.00,0.00,0.00,11.42,11.42,365.11,1.25,10.90,1.21,0.00,1.52,1.21,0.07,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/balpharma/BP02,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=BP02&type=stock,"Bal Pharma&nbsp;<span>INE083D01012, BALPHARMA, 524824</span>",Bal Pharma,BP02,Bal Pharma,PH,Pharmaceuticals,https://mmb.moneycontrol.com/forum-topics/stocks/bal-pharma-2981.html,133,83.67,10.00,4.49,18.59,43.21,4.56,4.56,10.68,48.63,48.63,190.37,19.95,13.81,3.23,4.55,4.53,10.47,7.25,1.69,2.38,2.38,9.32,18.92,2.14,1.94,0.93,1.07,0.60,1.57,0.00,0.00,0.00,0.00,1.88,1.88,274.75,0.91,8.65,0.44,0.00,1.71,0.44,0.05,,,,,,,,,,,,,,,,,,,,,,
https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/bandhanbank/BB09,http://arjun.in.com/dashboard/api/profilingSuggestions.php?id=BB09&type=stock,"Bandhan Bank&nbsp;<span>INE545U01014, BANDHANBNK, 541153</span>",Bandhan Bank,BB09,Bandhan Bank,BF,Banking & Financial Services,https://mmb.moneycontrol.com/forum-topics/stocks/bandhan-bank-510718.html,"26,736",163.54,10.00,0.00,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
